gene,gene_ID,pathway,dose,type_of_radiation,tissue_cell_line,time_after_irradiation
CDC2,983,,1.5 Gy,α-particles,lung fibroblasts,24 h
FAM64A,54478,,1.5 Gy,α-particles,lung fibroblasts,24 h
NARG1,80155,,10 Gy,γ-rays,kidney,24h
RAB1,6038,,10 Gy,γ-rays,brain,24h
SLC5A4-AS1,110806273,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
PRC1-AS1,100507118,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
G3BP1P1,100422338,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
EEF1B2P7,100421756,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
KDM3AP1,100420666,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
ZNF887P,100419709,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
RPL23AP81,100271627,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
FAM72A,729533,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
GASK1A,729085,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
FAM72D,728833,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
OVOL3,728361,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
SNORA32,692063,,1.5 Gy,α-particles,keratinocytes,24 h
ZNF732,654254,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
H3C13,653604,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
MCFD2P1,645927,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
SNORD96A,619571,,1.5 Gy,α-particles,keratinocytes,24 h
HERC2P10,390561,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
CENPW,387103,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
C5orf34,375444,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
FAM111B,374393,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
TMPRSS7,344805,,1.5 Gy,α-particles,peripheral blood mononuclear cells,24 h
LRRC37A11P,342666,,5 Gy,X-rays,iPSC-derived cardiomyocytes,48 h
